,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
392,93,Kelsea Ballerini,homecoming queen?,84,82,6,1/25/2020
393,94,Harry Styles,Watermelon Sugar,81,54,8,1/25/2020
394,95,Niall Horan,Nice To Meet Ya,77,63,14,1/25/2020
395,96,Noah Cyrus & Leon Bridges,July,91,91,3,1/25/2020
396,97,Roddy Ricch Featuring Meek Mill,Peta,86,72,4,1/25/2020
397,98,YNW Melly & 9lokknine,223's,85,34,19,1/25/2020
398,99,Jordan Davis,Slow Dance In A Parking Lot,97,97,3,1/25/2020
399,100,Olivia Rodrigo,All I Want,90,90,2,1/25/2020
400,1,Roddy Ricch,The Box,1,1,7,2/1/2020
401,2,Future Featuring Drake,Life Is Good,2,2,2,2/1/2020
402,3,Eminem Featuring Juice WRLD,Godzilla,0,3,1,2/1/2020
403,4,Post Malone,Circles,3,1,21,2/1/2020
404,5,Maroon 5,Memories,4,2,18,2/1/2020
405,6,Dan + Shay & Justin Bieber,"10,000 Hours",7,4,16,2/1/2020
406,7,Tones And I,Dance Monkey,8,7,16,2/1/2020
407,8,Lewis Capaldi,Someone You Loved,6,1,37,2/1/2020
408,9,Arizona Zervas,Roxanne,9,4,12,2/1/2020
409,10,Selena Gomez,Lose You To Love Me,5,1,14,2/1/2020
410,11,Justin Bieber,Yummy,10,2,3,2/1/2020
411,12,Lizzo,Good As Hell,11,3,22,2/1/2020
412,13,DaBaby,BOP,12,11,17,2/1/2020
413,14,Mustard & Roddy Ricch,Ballin',13,11,27,2/1/2020
414,15,Dua Lipa,Don't Start Now,14,14,12,2/1/2020
415,16,Jonas Brothers,What A Man Gotta Do,0,16,1,2/1/2020
416,17,Travis Scott,HIGHEST IN THE ROOM,15,1,16,2/1/2020
417,18,Mac Miller,Good News,17,17,2,2/1/2020
418,19,The Weeknd,Heartless,18,1,9,2/1/2020
419,20,Roddy Ricch Featuring Mustard,High Fashion,27,20,4,2/1/2020
420,21,The Weeknd,Blinding Lights,32,11,8,2/1/2020
421,22,Maren Morris,The Bones,23,22,18,2/1/2020
422,23,Billie Eilish,Everything I Wanted,22,8,11,2/1/2020
423,24,SHAED,Trampoline,20,13,34,2/1/2020
424,25,Chris Brown Featuring Drake,No Guidance,19,5,33,2/1/2020
425,26,Halsey,You Should Be Sad,29,26,2,2/1/2020
426,27,blackbear,Hot Girl Bummer,25,25,19,2/1/2020
427,28,Eminem,Darkness,0,28,1,2/1/2020
428,29,Lil Baby,Woah,21,16,11,2/1/2020
429,30,Shawn Mendes & Camila Cabello,Senorita,24,1,31,2/1/2020
430,31,Eminem Featuring Ed Sheeran,Those Kinda Nights,0,31,1,2/1/2020
431,32,Harry Styles,Adore You,26,24,7,2/1/2020
432,33,Lil Baby,Sum 2 Prove,16,16,2,2/1/2020
433,34,YNW Melly & Juice WRLD,Suicidal,39,34,9,2/1/2020
434,35,Jonas Brothers,Only Human,34,18,31,2/1/2020
435,36,Eminem Featuring Young M.A,Unaccommodating,0,36,1,2/1/2020
436,37,Trevor Daniel,Falling,41,31,10,2/1/2020
437,38,Mac Miller,Blue World,0,38,1,2/1/2020
438,39,Lil Nas X,Panini,28,5,31,2/1/2020
439,40,Camila Cabello Featuring DaBaby,My Oh My,44,40,7,2/1/2020
440,41,Billie Eilish,Bad Guy,40,1,43,2/1/2020
441,42,Young Thug Featuring Gunna,Hot,31,11,23,2/1/2020
442,43,Lizzo,Truth Hurts,33,1,38,2/1/2020
443,44,Ed Sheeran & Justin Bieber,I Don't Care,38,2,34,2/1/2020
444,45,Luke Combs,Even Though I'm Leaving,37,11,21,2/1/2020
445,46,Old Dominion,One Man Band,36,20,22,2/1/2020
446,47,Juice WRLD & YoungBoy Never Broke Again,Bandit,35,10,16,2/1/2020
447,48,Mac Miller,Circles,0,48,1,2/1/2020
448,49,Jonas Brothers,Sucker,42,1,42,2/1/2020
449,50,Doja Cat & Tyga,Juicy,45,45,13,2/1/2020
450,51,Jon Pardi,Heartache Medication,47,47,17,2/1/2020
451,52,"Eminem Featuring Royce da 5'9"" & White Gold",You Gon' Learn,0,52,1,2/1/2020
452,53,Sam Hunt,Kinfolks,51,51,15,2/1/2020
453,54,Halsey,Graveyard,58,34,19,2/1/2020
454,55,Karol G & Nicki Minaj,Tusa,69,55,8,2/1/2020
455,56,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,56,53,7,2/1/2020
456,57,BTS,Black Swan,0,57,1,2/1/2020
457,58,Jhene Aiko,P*$$y Fairy (OTW),0,58,1,2/1/2020
458,59,Lil Uzi Vert,Futsal Shuffle 2020,43,5,6,2/1/2020
459,60,Dustin Lynch,Ridin' Roads,52,47,12,2/1/2020
460,61,Eminem Featuring Skylar Grey,Leaving Heaven,0,61,1,2/1/2020
461,62,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),67,62,9,2/1/2020
462,63,Mac Miller,Complicated,0,63,1,2/1/2020
463,64,Mac Miller,Hand Me Downs,0,64,1,2/1/2020
464,65,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,55,28,8,2/1/2020
465,66,Kane Brown,Homesick,60,60,10,2/1/2020
466,67,Eminem,Premonition (Intro),0,67,1,2/1/2020
467,68,Mac Miller,I Can See,0,68,1,2/1/2020
468,69,DaBaby,VIBEZ,57,21,17,2/1/2020
469,70,H.E.R. Featuring YG,Slide,71,67,5,2/1/2020
470,71,Eminem,In Too Deep,0,71,1,2/1/2020
471,72,Rod Wave,Heart On Ice,61,54,11,2/1/2020
472,73,Gabby Barrett Featuring Charlie Puth,I Hope,64,64,4,2/1/2020
473,74,Roddy Ricch & Gunna,Start Wit Me,62,56,10,2/1/2020
474,75,Mac Miller,Woods,0,75,1,2/1/2020
475,76,Blake Shelton Duet With Gwen Stefani,Nobody But You,0,76,2,2/1/2020
476,77,Don Toliver,No Idea,63,43,8,2/1/2020
477,78,BrockHampton,SUGAR,66,66,3,2/1/2020
478,79,Russ & BIA,BEST ON EARTH,68,68,7,2/1/2020
479,80,Mac Miller,Everybody,0,80,1,2/1/2020
480,81,Selena Gomez,Rare,30,30,2,2/1/2020
481,82,MoneyBagg Yo Featuring Lil Baby,U Played,53,53,3,2/1/2020
482,83,Eminem,Marsh,0,83,1,2/1/2020
483,84,Eminem Featuring Don Toliver,No Regrets,0,84,1,2/1/2020
484,85,JACKBOYS Featuring Young Thug,Out West,65,38,4,2/1/2020
485,86,Ingrid Andress,More Hearts Than Mine,76,76,4,2/1/2020
486,87,Riley Green,I Wish Grandpas Never Died,75,75,4,2/1/2020
487,88,Jimmie Allen,Make Me Want To,74,74,4,2/1/2020
488,89,Eminem Featuring Anderson .Paak,Lock It Up,0,89,1,2/1/2020
489,90,Luke Bryan,What She Wants Tonight,73,73,5,2/1/2020
490,91,Mac Miller,Surf,0,91,1,2/1/2020
491,92,Doja Cat Featuring Nicki Minaj,Say So,77,77,3,2/1/2020
492,93,Eminem,Stepdad,0,93,1,2/1/2020
493,94,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,70,8,20,2/1/2020
494,95,Jason Aldean,We Back,72,72,8,2/1/2020
495,96,Kelsea Ballerini,homecoming queen?,93,82,7,2/1/2020
496,97,Carly Pearce & Lee Brice,I Hope You're Happy Now,87,87,3,2/1/2020
497,98,YoungBoy Never Broke Again,Make No Sense,79,57,11,2/1/2020
498,99,DaniLeigh Featuring Chris Brown,Easy,81,79,12,2/1/2020
499,100,Mac Miller,That's On Me,0,100,1,2/1/2020
500,1,Roddy Ricch,The Box,1,1,8,2/8/2020
501,2,Future Featuring Drake,Life Is Good,2,2,3,2/8/2020
502,3,Post Malone,Circles,4,1,22,2/8/2020
503,4,Maroon 5,Memories,5,2,19,2/8/2020
504,5,Lewis Capaldi,Someone You Loved,8,1,38,2/8/2020
505,6,Dan + Shay & Justin Bieber,"10,000 Hours",6,4,17,2/8/2020
506,7,Tones And I,Dance Monkey,7,7,17,2/8/2020
507,8,Arizona Zervas,Roxanne,9,4,13,2/8/2020
508,9,Dua Lipa,Don't Start Now,15,9,13,2/8/2020
509,10,Billie Eilish,Everything I Wanted,23,8,12,2/8/2020
510,11,Selena Gomez,Lose You To Love Me,10,1,15,2/8/2020
511,12,Eminem Featuring Juice WRLD,Godzilla,3,3,2,2/8/2020
512,13,Lizzo,Good As Hell,12,3,23,2/8/2020
513,14,DaBaby,BOP,13,11,18,2/8/2020
514,15,Justin Bieber,Yummy,11,2,4,2/8/2020
515,16,Mustard & Roddy Ricch,Ballin',14,11,28,2/8/2020
516,17,Billie Eilish,Bad Guy,41,1,44,2/8/2020
517,18,The Weeknd,Blinding Lights,21,11,9,2/8/2020
518,19,The Weeknd,Heartless,19,1,10,2/8/2020
519,20,Travis Scott,HIGHEST IN THE ROOM,17,1,17,2/8/2020
520,21,Maren Morris,The Bones,22,21,19,2/8/2020
521,22,Roddy Ricch Featuring Mustard,High Fashion,20,20,5,2/8/2020
522,23,blackbear,Hot Girl Bummer,27,23,20,2/8/2020
523,24,Chris Brown Featuring Drake,No Guidance,25,5,34,2/8/2020
524,25,Lil Baby,Woah,29,16,12,2/8/2020
525,26,Shawn Mendes & Camila Cabello,Senorita,30,1,32,2/8/2020
526,27,SHAED,Trampoline,24,13,35,2/8/2020
527,28,Halsey,You Should Be Sad,26,26,3,2/8/2020
528,29,Harry Styles,Adore You,32,24,8,2/8/2020
529,30,Jonas Brothers,What A Man Gotta Do,16,16,2,2/8/2020
530,31,Megan Thee Stallion,B.I.T.C.H.,0,31,1,2/8/2020
531,32,Lizzo,Truth Hurts,43,1,39,2/8/2020
532,33,Trevor Daniel,Falling,37,31,11,2/8/2020
533,34,Demi Lovato,Anyone,0,34,1,2/8/2020
534,35,Camila Cabello Featuring DaBaby,My Oh My,40,35,8,2/8/2020
535,36,YNW Melly & Juice WRLD,Suicidal,34,34,10,2/8/2020
536,37,Jonas Brothers,Only Human,35,18,32,2/8/2020
537,38,Lil Baby,Sum 2 Prove,33,16,3,2/8/2020
538,39,Jonas Brothers,Sucker,49,1,43,2/8/2020
539,40,Old Dominion,One Man Band,46,20,23,2/8/2020
540,41,Luke Combs,Even Though I'm Leaving,45,11,22,2/8/2020
541,42,Jon Pardi,Heartache Medication,51,42,18,2/8/2020
542,43,Blake Shelton Duet With Gwen Stefani,Nobody But You,76,43,3,2/8/2020
543,44,Ed Sheeran & Justin Bieber,I Don't Care,44,2,35,2/8/2020
544,45,Young Thug Featuring Gunna,Hot,42,11,24,2/8/2020
545,46,Sam Hunt,Kinfolks,53,46,16,2/8/2020
546,47,Juice WRLD & YoungBoy Never Broke Again,Bandit,47,10,17,2/8/2020
547,48,Doja Cat & Tyga,Juicy,50,45,14,2/8/2020
548,49,Lil Nas X,Panini,39,5,32,2/8/2020
549,50,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,56,50,8,2/8/2020
550,51,Karol G & Nicki Minaj,Tusa,55,51,9,2/8/2020
551,52,Kane Brown,Homesick,66,52,11,2/8/2020
552,53,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),62,53,10,2/8/2020
553,54,Mac Miller,Good News,18,17,3,2/8/2020
554,55,Jhene Aiko,P*$$y Fairy (OTW),58,55,2,2/8/2020
555,56,Gabby Barrett Featuring Charlie Puth,I Hope,73,56,5,2/8/2020
556,57,H.E.R. Featuring YG,Slide,70,57,6,2/8/2020
557,58,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,65,28,9,2/8/2020
558,59,Rod Wave,Heart On Ice,72,54,12,2/8/2020
559,60,Lil Uzi Vert,Futsal Shuffle 2020,59,5,7,2/8/2020
560,61,DaBaby,VIBEZ,69,21,18,2/8/2020
561,62,Russ & BIA,BEST ON EARTH,79,62,8,2/8/2020
562,63,JACKBOYS Featuring Young Thug,Out West,85,38,5,2/8/2020
563,64,Halsey,Graveyard,54,34,20,2/8/2020
564,65,Luke Bryan,What She Wants Tonight,90,65,6,2/8/2020
565,66,Don Toliver,No Idea,77,43,9,2/8/2020
566,67,Dustin Lynch,Ridin' Roads,60,47,13,2/8/2020
567,68,Ingrid Andress,More Hearts Than Mine,86,68,5,2/8/2020
568,69,BrockHampton,SUGAR,78,66,4,2/8/2020
569,70,Riley Green,I Wish Grandpas Never Died,87,70,5,2/8/2020
570,71,Roddy Ricch & Gunna,Start Wit Me,74,56,11,2/8/2020
571,72,Jimmie Allen,Make Me Want To,88,72,5,2/8/2020
572,73,Doja Cat Featuring Nicki Minaj,Say So,92,73,4,2/8/2020
573,74,Jason Aldean,We Back,95,72,9,2/8/2020
574,75,Carly Pearce & Lee Brice,I Hope You're Happy Now,97,75,4,2/8/2020
575,76,Kelsea Ballerini,homecoming queen?,96,76,8,2/8/2020
576,77,MoneyBagg Yo Featuring Lil Baby,U Played,82,53,4,2/8/2020
577,78,Mac Miller,Blue World,38,38,2,2/8/2020
578,79,YoungBoy Never Broke Again,Make No Sense,98,57,12,2/8/2020
579,80,Meek Mill Featuring Roddy Ricch,Letter To Nipsey,0,80,1,2/8/2020
580,81,Tory Lanez & T-Pain,Jerry Sprunger,0,44,8,2/8/2020
581,82,Morgan Wallen,Chasin' You,0,82,1,2/8/2020
582,83,Selena Gomez,Rare,81,30,3,2/8/2020
583,84,Jordan Davis,Slow Dance In A Parking Lot,0,84,4,2/8/2020
584,85,Lewis Capaldi,Before You Go,0,85,1,2/8/2020
585,86,Eminem Featuring Ed Sheeran,Those Kinda Nights,31,31,2,2/8/2020
586,87,Bad Bunny,Vete,0,33,9,2/8/2020
587,88,Jake Owen,Homemade,0,88,1,2/8/2020
588,89,DaniLeigh Featuring Chris Brown,Easy,99,79,13,2/8/2020
589,90,Summer Walker & Usher,Come Thru,0,42,7,2/8/2020
590,91,Eminem,Darkness,28,28,2,2/8/2020
591,92,NLE Choppa,Camelot,0,37,19,2/8/2020
592,93,Alicia Keys,Underdog,0,93,1,2/8/2020
593,94,Camila Cabello,First Man,0,94,1,2/8/2020
594,95,Ali Gatie,What If I Told You That I Love You,0,95,1,2/8/2020
595,96,Brett Young,Catch,0,96,1,2/8/2020
596,97,Eminem Featuring Young M.A,Unaccommodating,36,36,2,2/8/2020
597,98,Noah Cyrus & Leon Bridges,July,0,91,4,2/8/2020
598,99,"Eminem Featuring Royce da 5'9"" & White Gold",You Gon' Learn,52,52,2,2/8/2020
599,100,Garth Brooks & Blake Shelton,Dive Bar,0,100,1,2/8/2020
600,1,Roddy Ricch,The Box,1,1,9,2/15/2020
601,2,Future Featuring Drake,Life Is Good,2,2,4,2/15/2020
602,3,Post Malone,Circles,3,1,23,2/15/2020
603,4,Maroon 5,Memories,4,2,20,2/15/2020
604,5,Tones And I,Dance Monkey,7,5,18,2/15/2020
605,6,Lewis Capaldi,Someone You Loved,5,1,39,2/15/2020
606,7,Arizona Zervas,Roxanne,8,4,14,2/15/2020
607,8,Dan + Shay & Justin Bieber,"10,000 Hours",6,4,18,2/15/2020
608,9,Dua Lipa,Don't Start Now,9,9,14,2/15/2020
609,10,Billie Eilish,Everything I Wanted,10,8,13,2/15/2020
610,11,Selena Gomez,Lose You To Love Me,11,1,16,2/15/2020
611,12,Mustard & Roddy Ricch,Ballin',16,11,29,2/15/2020
612,13,DaBaby,BOP,14,11,19,2/15/2020
613,14,Justin Bieber,Yummy,15,2,5,2/15/2020
614,15,The Weeknd,Blinding Lights,18,11,10,2/15/2020
615,16,Lizzo,Good As Hell,13,3,24,2/15/2020
616,17,The Weeknd,Heartless,19,1,11,2/15/2020
617,18,Maren Morris,The Bones,21,18,20,2/15/2020
618,19,blackbear,Hot Girl Bummer,23,19,21,2/15/2020
619,20,Eminem Featuring Juice WRLD,Godzilla,12,3,3,2/15/2020
620,21,Roddy Ricch Featuring Mustard,High Fashion,22,20,6,2/15/2020
621,22,Chris Brown Featuring Drake,No Guidance,24,5,35,2/15/2020
622,23,Harry Styles,Adore You,29,23,9,2/15/2020
623,24,Lil Baby,Woah,25,16,13,2/15/2020
624,25,Billie Eilish,Bad Guy,17,1,45,2/15/2020
625,26,Travis Scott,HIGHEST IN THE ROOM,20,1,18,2/15/2020
626,27,Trevor Daniel,Falling,33,27,12,2/15/2020
627,28,Shawn Mendes & Camila Cabello,Senorita,26,1,33,2/15/2020
628,29,Jonas Brothers,What A Man Gotta Do,30,16,3,2/15/2020
629,30,Halsey,You Should Be Sad,28,26,4,2/15/2020
630,31,Camila Cabello Featuring DaBaby,My Oh My,35,31,9,2/15/2020
631,32,SHAED,Trampoline,27,13,36,2/15/2020
632,33,Lil Wayne Featuring Big Sean & Lil Baby,I Do It,0,33,1,2/15/2020
633,34,Sam Hunt,Kinfolks,46,34,17,2/15/2020
634,35,Lizzo,Truth Hurts,32,1,40,2/15/2020
635,36,Old Dominion,One Man Band,40,20,24,2/15/2020
636,37,Jonas Brothers,Only Human,37,18,33,2/15/2020
637,38,Jonas Brothers,Sucker,39,1,44,2/15/2020
638,39,YNW Melly & Juice WRLD,Suicidal,36,34,11,2/15/2020
639,40,Ed Sheeran & Justin Bieber,I Don't Care,44,2,36,2/15/2020
640,41,Doja Cat & Tyga,Juicy,48,41,15,2/15/2020
641,42,Karol G & Nicki Minaj,Tusa,51,42,10,2/15/2020
642,43,Luke Combs,Even Though I'm Leaving,41,11,23,2/15/2020
643,44,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),53,44,11,2/15/2020
644,45,Juice WRLD & YoungBoy Never Broke Again,Bandit,47,10,18,2/15/2020
645,46,Lil Baby,Sum 2 Prove,38,16,4,2/15/2020
646,47,Young Thug Featuring Gunna,Hot,45,11,25,2/15/2020
647,48,Jon Pardi,Heartache Medication,42,42,19,2/15/2020
648,49,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,50,49,9,2/15/2020
649,50,Taylor Swift,Only The Young,0,50,1,2/15/2020
650,51,Kane Brown,Homesick,52,51,12,2/15/2020
651,52,Russ & BIA,BEST ON EARTH,62,52,9,2/15/2020
652,53,Gabby Barrett Featuring Charlie Puth,I Hope,56,53,6,2/15/2020
653,54,H.E.R. Featuring YG,Slide,57,54,7,2/15/2020
654,55,Rod Wave,Heart On Ice,59,54,13,2/15/2020
655,56,Demi Lovato,Anyone,34,34,2,2/15/2020
656,57,JACKBOYS Featuring Young Thug,Out West,63,38,6,2/15/2020
657,58,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,58,28,10,2/15/2020
658,59,Megan Thee Stallion,B.I.T.C.H.,31,31,2,2/15/2020
659,60,Dua Lipa,Physical,0,60,1,2/15/2020
660,61,Lil Wayne,Mahogany,0,61,1,2/15/2020
661,62,Blake Shelton Duet With Gwen Stefani,Nobody But You,43,43,4,2/15/2020
662,63,DaBaby,VIBEZ,61,21,19,2/15/2020
663,64,Luke Bryan,What She Wants Tonight,65,64,7,2/15/2020
664,65,Jimmie Allen,Make Me Want To,72,65,6,2/15/2020
665,66,Jhene Aiko,P*$$y Fairy (OTW),55,55,3,2/15/2020
666,67,Doja Cat Featuring Nicki Minaj,Say So,73,67,5,2/15/2020
667,68,Riley Green,I Wish Grandpas Never Died,70,68,6,2/15/2020
668,69,A Boogie Wit da Hoodie,King Of My City,0,69,1,2/15/2020
669,70,Lil Uzi Vert,Futsal Shuffle 2020,60,5,8,2/15/2020
670,71,Ingrid Andress,More Hearts Than Mine,68,68,6,2/15/2020
671,72,Jason Aldean,We Back,74,72,10,2/15/2020
672,73,Meek Mill Featuring Roddy Ricch,Letter To Nipsey,80,73,2,2/15/2020
673,74,BrockHampton,SUGAR,69,66,5,2/15/2020
674,75,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,0,75,5,2/15/2020
675,76,Carly Pearce & Lee Brice,I Hope You're Happy Now,75,75,5,2/15/2020
676,77,Dustin Lynch,Ridin' Roads,67,47,14,2/15/2020
677,78,Don Toliver,No Idea,66,43,10,2/15/2020
678,79,Lewis Capaldi,Before You Go,85,79,2,2/15/2020
679,80,YoungBoy Never Broke Again,Make No Sense,79,57,13,2/15/2020
680,81,Jake Owen,Homemade,88,81,2,2/15/2020
681,82,Mac Miller,Good News,54,17,4,2/15/2020
682,83,Roddy Ricch & Gunna,Start Wit Me,71,56,12,2/15/2020
683,84,Bad Bunny,Vete,87,33,10,2/15/2020
684,85,Morgan Wallen,Chasin' You,82,82,2,2/15/2020
685,86,Kelsea Ballerini,homecoming queen?,76,76,9,2/15/2020
686,87,Lil Wayne,Mama Mia,0,87,1,2/15/2020
687,88,Lil Wayne,Funeral,0,88,1,2/15/2020
688,89,Meghan Trainor Featuring Nicki Minaj,Nice To Meet Ya,0,89,1,2/15/2020
689,90,Jordan Davis,Slow Dance In A Parking Lot,84,84,5,2/15/2020
690,91,Summer Walker & Usher,Come Thru,90,42,8,2/15/2020
691,92,Tory Lanez & T-Pain,Jerry Sprunger,81,44,9,2/15/2020
692,93,Justin Bieber Featuring Kehlani,Get Me,0,93,1,2/15/2020
693,94,Brett Young,Catch,96,94,2,2/15/2020
694,95,Garth Brooks & Blake Shelton,Dive Bar,100,95,2,2/15/2020
695,96,DaniLeigh Featuring Chris Brown,Easy,89,79,14,2/15/2020
696,97,Selena Gomez,Rare,83,30,4,2/15/2020
697,98,MoneyBagg Yo Featuring Lil Baby,U Played,77,53,5,2/15/2020
698,99,NLE Choppa,Camelot,92,37,20,2/15/2020
699,100,Baby Keem,ORANGE SODA,0,98,2,2/15/2020
700,1,Roddy Ricch,The Box,1,1,10,2/22/2020
701,2,Future Featuring Drake,Life Is Good,2,2,5,2/22/2020
702,3,Post Malone,Circles,3,1,24,2/22/2020
703,4,Maroon 5,Memories,4,2,21,2/22/2020
704,5,Tones And I,Dance Monkey,5,5,19,2/22/2020
705,6,Dua Lipa,Don't Start Now,9,6,15,2/22/2020
706,7,Arizona Zervas,Roxanne,7,4,15,2/22/2020
707,8,Lewis Capaldi,Someone You Loved,6,1,40,2/22/2020
708,9,Dan + Shay & Justin Bieber,"10,000 Hours",8,4,19,2/22/2020
709,10,Billie Eilish,Everything I Wanted,10,8,14,2/22/2020
710,11,Justin Bieber Featuring Quavo,Intentions,0,11,1,2/22/2020
711,12,The Weeknd,Blinding Lights,15,11,11,2/22/2020
712,13,Selena Gomez,Lose You To Love Me,11,1,17,2/22/2020
713,14,Mustard & Roddy Ricch,Ballin',12,11,30,2/22/2020
714,15,DaBaby,BOP,13,11,20,2/22/2020
715,16,blackbear,Hot Girl Bummer,19,16,22,2/22/2020
716,17,The Weeknd,Heartless,17,1,12,2/22/2020
717,18,Maren Morris,The Bones,18,18,21,2/22/2020
718,19,Justin Bieber,Yummy,14,2,6,2/22/2020
719,20,Lizzo,Good As Hell,16,3,25,2/22/2020
720,21,Roddy Ricch Featuring Mustard,High Fashion,21,20,7,2/22/2020
721,22,Harry Styles,Adore You,23,22,10,2/22/2020
722,23,Nicki Minaj,Yikes,0,23,1,2/22/2020
723,24,Lil Baby,Woah,24,16,14,2/22/2020
724,25,Trevor Daniel,Falling,27,25,13,2/22/2020
725,26,Camila Cabello Featuring DaBaby,My Oh My,31,26,10,2/22/2020
726,27,Chris Brown Featuring Drake,No Guidance,22,5,36,2/22/2020
727,28,Eminem Featuring Juice WRLD,Godzilla,20,3,4,2/22/2020
728,29,Billie Eilish,Bad Guy,25,1,46,2/22/2020
729,30,Travis Scott,HIGHEST IN THE ROOM,26,1,19,2/22/2020
730,31,Halsey,You Should Be Sad,30,26,5,2/22/2020
731,32,Jonas Brothers,What A Man Gotta Do,29,16,4,2/22/2020
732,33,Shawn Mendes & Camila Cabello,Senorita,28,1,34,2/22/2020
733,34,Sam Hunt,Kinfolks,34,34,18,2/22/2020
734,35,SHAED,Trampoline,32,13,37,2/22/2020
735,36,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),44,36,12,2/22/2020
736,37,Jonas Brothers,Sucker,38,1,45,2/22/2020
737,38,Old Dominion,One Man Band,36,20,25,2/22/2020
738,39,Jonas Brothers,Only Human,37,18,34,2/22/2020
739,40,Ed Sheeran & Justin Bieber,I Don't Care,40,2,37,2/22/2020
740,41,Lizzo,Truth Hurts,35,1,41,2/22/2020
741,42,Karol G & Nicki Minaj,Tusa,42,42,11,2/22/2020
742,43,Doja Cat & Tyga,Juicy,41,41,16,2/22/2020
743,44,YNW Melly & Juice WRLD,Suicidal,39,34,12,2/22/2020
744,45,Kane Brown,Homesick,51,45,13,2/22/2020
745,46,Young Thug Featuring Gunna,Hot,47,11,26,2/22/2020
746,47,Luke Combs,Even Though I'm Leaving,43,11,24,2/22/2020
747,48,Gabby Barrett Featuring Charlie Puth,I Hope,53,48,7,2/22/2020
748,49,Lil Baby,Sum 2 Prove,46,16,5,2/22/2020
749,50,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,49,49,10,2/22/2020
750,51,Juice WRLD & YoungBoy Never Broke Again,Bandit,45,10,19,2/22/2020
751,52,Jon Pardi,Heartache Medication,48,42,20,2/22/2020
752,53,Jimmie Allen,Make Me Want To,65,53,7,2/22/2020
753,54,Russ & BIA,BEST ON EARTH,52,52,10,2/22/2020
754,55,Rod Wave,Heart On Ice,55,54,14,2/22/2020
755,56,H.E.R. Featuring YG,Slide,54,54,8,2/22/2020
756,57,Khalid x Disclosure,Know Your Worth,0,57,1,2/22/2020
757,58,Doja Cat Featuring Nicki Minaj,Say So,67,58,6,2/22/2020
758,59,JACKBOYS Featuring Young Thug,Out West,57,38,7,2/22/2020
759,60,Blake Shelton Duet With Gwen Stefani,Nobody But You,62,43,5,2/22/2020
760,61,Lil Wayne Featuring Big Sean & Lil Baby,I Do It,33,33,2,2/22/2020
761,62,Lil Mosey,Blueberry Faygo,0,62,1,2/22/2020
762,63,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,58,28,11,2/22/2020
763,64,Luke Bryan,What She Wants Tonight,64,64,8,2/22/2020
764,65,DaBaby,VIBEZ,63,21,20,2/22/2020
765,66,Riley Green,I Wish Grandpas Never Died,68,66,7,2/22/2020
766,67,Ingrid Andress,More Hearts Than Mine,71,67,7,2/22/2020
767,68,Joji,Run,0,68,1,2/22/2020
768,69,Jason Aldean,We Back,72,69,11,2/22/2020
769,70,Jhene Aiko,P*$$y Fairy (OTW),66,55,4,2/22/2020
770,71,Lewis Capaldi,Before You Go,79,71,3,2/22/2020
771,72,Megan Thee Stallion,B.I.T.C.H.,59,31,3,2/22/2020
772,73,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,75,73,6,2/22/2020
773,74,Lil Nas X & Cardi B Or Nas,Rodeo,0,22,9,2/22/2020
774,75,Jake Owen,Homemade,81,75,3,2/22/2020
775,76,Jordan Davis,Slow Dance In A Parking Lot,90,76,6,2/22/2020
776,77,Carly Pearce & Lee Brice,I Hope You're Happy Now,76,75,6,2/22/2020
777,78,Dustin Lynch,Ridin' Roads,77,47,15,2/22/2020
778,79,YoungBoy Never Broke Again,Make No Sense,80,57,14,2/22/2020
779,80,PARTYNEXTDOOR Featuring Drake,Loyal,0,63,2,2/22/2020
780,81,Morgan Wallen,Chasin' You,85,81,3,2/22/2020
781,82,BrockHampton,SUGAR,74,66,6,2/22/2020
782,83,Anuel AA,KEII,0,83,1,2/22/2020
783,84,Lil Uzi Vert,Futsal Shuffle 2020,70,5,9,2/22/2020
784,85,Garth Brooks & Blake Shelton,Dive Bar,95,85,3,2/22/2020
785,86,Kelsea Ballerini,homecoming queen?,86,76,10,2/22/2020
786,87,Selena Gomez,Rare,97,30,5,2/22/2020
787,88,Don Toliver,No Idea,78,43,11,2/22/2020
788,89,Summer Walker & Usher,Come Thru,91,42,9,2/22/2020
789,90,Meek Mill Featuring Justin Timberlake,Believe,0,90,1,2/22/2020
790,91,Bad Bunny,Vete,84,33,11,2/22/2020
791,92,Brett Young,Catch,94,92,3,2/22/2020
